State,County,FIPS State,FIPS County,N of CDC Rows,Population2010,Lack Health Insurance,Arthritis,Binge Drinking,High Blood Pressure,Take Blood Pressure Meds,Cancer Excl Skin Cancer,Asthma,Corornary Heart Disease,Routine Checkup,Cholesterol Screening,Colon Screening,COPD,Core Med Services Male,Core Med Services Female,Smoking CDC,Dental Visits,Diabetes CDC,High Cholesterol,Kidney Disease,No Leisure Physical Activities,Mammography CDC,Poor Mental Health,Obesity CDC,Pap Test,Poor Physical Health,Sleep Less Than 7 Hrs,Stroke,Teeth Lost,% Low Birth Rate,% Smokers,% Obese,Food Environment Index,% Excessive Drinking,Teen Birth Rate,Primary Care Physician Rate,Dentist Rate,% Receiving HbA1c,% Mammography,% Unemployed,% Children in Poverty,Association Rate,Air Polution,Diabetes Prevalence,% Food Insecure,% Limited Access,Drug Overdose Mortality Rate,Household Income,Population,% < 18,% 65 and over,% Female,% Rural
Arizona,Yuma,4,4027,29,93026,21.49218068,22.31781975,15.69506267,30.39286651,68.43152345,5.486785415,9.91136779,6.838054952,64.60727324,68.98527723,51.43203083,7.004976028,29.43113538,24.85519317,17.63206738,55.74706856,11.48755402,36.26836046,3.326843033,27.46568164,78.82109518,13.91990734,35.35269817, ,15.35046331,31.3348365,3.274056715,17.98593511,6.021939689,14.89587161,31,6.7,15.48240407,49.59496474,37.20475,28.20586,81.4036479,61.88340807,18.60113824,29,4.307918248,7.3,12.9,35470,9.597011201,17.94005738,42998,205631,25.38673644,18.46365577,48.51116806,10.42957635
Arkansas,Benton,5,5007,4,6054,12.07836141,22.08397754,17.69966964,26.7195408,73.08957714,5.501040634,8.799653122,5.505946482,68.2633961,73.55371655,61.86549389,6.353914767,39.17335646,30.40148662,20.34241824,62.79245127,8.170267592,32.58500165,2.30802775,25.15705319,74.27134126,14.22317476,31.56589032, ,13.02153948,31.75659068,2.330706971,14.99068385,7.413915736,17.57684087,30.8,8.1,17.32967924,32.3579906,60.07882,43.36194,85.64405113,64.25557565,2.915818892,11.9,8.931718415,10,9.1,28340,5.303287663,14.79439786,64072,258291,26.69663287,13.03026431,50.40632465,25.16004861
Arkansas,Craighead,5,5031,14,67257,11.68189185,25.73573606,14.42444207,33.87556983,74.21100703,6.16610613,9.430213955,6.570086385,69.69650743,70.3622017,61.15683126,7.351880102,40.5923428,26.33217806,21.62448816,58.3535513,9.760078505,35.84956064,2.79653865,29.20626998,75.32364066,15.31830441,35.21429442, ,13.73593529,32.38475698,3.082728935,19.19243499,8.551655957,20.96940424,35.6,6.5,14.2584188,40.89366069,111.16009,75.58936,82.96460177,66.63265306,3.264288454,20.6,8.432834391,10.4,13,19120,8.565899244,9.593645169,44091,105835,24.86228563,13.33963245,51.31383758,32.16822372
Arkansas,Pulaski,5,5119,51,193515,11.95674702,26.03166111,15.27027311,37.38549053,77.56794925,6.095503708,9.356905149,6.259784513,73.58512157,74.91449552,69.61776658,6.738834716,41.16273777,30.93055939,20.09530579,65.5318797,11.49272046,36.99332662,2.988466527,29.18704907,78.38702995,14.28180089,34.41139447, ,14.05404749,36.70117355,3.426989639,16.51772162,10.4728609,18.91926496,32.3,6.1,16.00399015,42.25704388,112.30976,72.21869,85.46354636,61.62040931,3.574949245,24.7,15.94238331,12.2,13.1,80080,10.42735677,13.06617253,47966,393250,23.6027972,14.4259377,52.16452638,12.27674606
Arkansas,Sebastian,5,5131,21,86209,15.84045053,28.86096811,13.60574882,37.9565869,77.06968182,6.425907968,10.26273939,8.149094642,70.41020543,70.13546845,58.64376573,9.285117563,26.27626002,25.71997703,25.56003898,54.25320094,12.78522428,39.91683583,3.416088807,35.42007331,76.59023768,17.03095848,35.17322321, ,17.51477688,35.26650118,4.004255936,25.69559559,7.508079887,21.8242171,34.8,7.3,14.09475929,47.90377529,122.08483,72.77394,83.59112307,64.50417053,3.729527294,22.8,11.0345907,10.2,12.4,21860,3.719905173,15.69246945,42559,127793,24.21885393,15.19488548,51.12956109,20.81212623
Arkansas,Washington,5,5143,28,137322,14.91410408,19.91856003,17.17917231,28.4888015,69.82886573,5.068336465,9.245704985,5.599409417,64.86005738,65.26905885,54.34077497,6.712521664,33.12987941,28.71154658,22.51072516,55.03030323,8.456338387,32.46709995,2.507661555,29.34437017,73.77212755,15.44919022,32.77256885, ,12.91472889,35.60584684,2.608799755,20.81472961,7.990453883,20.6897463,29.9,7.4,17.57760202,31.80176397,82.04828,60.95181,84.7640705,54.58515284,2.726785924,18.2,8.825733889,9.7,9.9,33050,6.060524659,8.304687106,46367,228049,24.65917413,11.26643835,50.04319247,25.49479231
California,Alameda,6,6001,308,1241047,10.56292147,17.62608773,17.63732671,25.70247597,70.05107953,5.181112722,8.71244135,4.514890572,66.42146438,75.32644904,68.63816382,4.443586504,33.01138877,32.82331056,13.25787605,66.39264178,9.268710693,30.26935031,2.525003163,18.54314011,79.46529108,10.85675385,20.98724158,82.00542091,10.19869554,35.41473433,2.431227665,10.6909221,7.23942562,10.67353273,18.9,8.1,19.58502523,15.01468696,104.93128,91.33922,80.94248094,61.29559064,4.240276782,12.4,6.372789896,9,8.2,226090,1.002539499,10.78246379,89472,1647704,20.96784374,13.07370741,50.9192185,0.388605754
California,Butte,6,6007,23,86186,9.57235862,18.11172696,19.8406841,24.28817905,62.61442114,5.379317987,9.671933957,4.898873367,62.81143573,67.3363957,68.31121876,5.586704337,34.46480519,28.32043603,15.54546446,65.11516372,7.18403569,30.27977282,2.462198037,17.79994199,78.41259485,13.74701112,23.77478825,84.27937252,11.05521082,32.71298471,2.483470633,13.61316687,5.957820738,14.15561774,25.4,6.8,18.93858454,20.58751013,61.66514,71.40842,78.17752101,60.33261472,6.541307089,22.9,7.630506053,8.1,9.3,39860,7.437892003,31.33702677,45097,226864,20.05122011,17.99095493,50.5267473,18.90181818
California,Contra Costa,6,6013,90,400108,11.79627326,18.58033581,15.81401197,26.52930284,68.61599218,5.293500005,8.759854339,4.789609805,63.92791546,74.81243264,68.31479675,4.994474492,33.18404681,33.30658622,14.05692613,69.53802448,9.458434723,32.73784828,2.605282574,20.28319954,79.09142032,11.75291421,27.94978581,83.26346386,11.16637133,34.81168859,2.574430904,11.52436942,6.838400966,10.46856736,24.2,8.3,16.27890933,14.43244773,99.84513,84.57203,81.5581854,63.59174001,4.427859266,10.3,5.413824779,7.7,9.3,131060,2.96851047,10.55374241,90920,1135127,23.04200323,14.95392146,51.15427613,0.792736112
California,Fresno,6,6019,147,590248,17.60857538,19.49645895,15.44897297,28.58640622,68.06790908,4.947044632,9.716492559,5.728121739,61.36533948,67.82030231,58.67709522,6.489343462,31.17356298,27.19707564,16.81799921,56.88075216,11.22690276,33.91871688,3.189996747,25.388228,78.46923327,14.36373948,33.19563387,79.82876943,13.98624612,36.25203914,3.246077242,18.27759992,7.680039148,14.18186937,26.8,7.8,16.09479989,41.06973046,65.24007,59.29086,82.93035005,59.40186246,9.43329419,37,5.12893633,14.3,9.6,138030,4.161996053,14.1744415,48323,979915,28.62391126,11.84500697,50.11781634,10.80520178
California,Kern,6,6029,79,347397,16.6439264,18.95312481,18.79111909,25.32796714,66.30844509,4.854756374,9.521206286,5.338892679,61.45072381,70.31668725,60.51025426,6.077965843,31.36087876,27.04553724,17.41442068,60.31765818,9.906963215,31.45311387,2.915529207,24.2389468,80.17737862,14.09728984,29.51389505,82.96475876,13.16740271,37.40700265,2.927018944,15.74183312,7.140477176,16.19314053,31.6,7.8,19.47817329,46.76814375,49.08318,47.24296,80.03452244,52.95606165,10.323806,31.1,4.556913813,13.9,8.8,115810,5.375653486,23.88746317,49812,884788,29.16563064,10.36621202,48.70477448,10.20603098
California,Los Angeles,6,6037,1746,7006911,16.75854145,17.60157155,16.68301244,26.87900362,67.18045137,4.871307528,8.503682793,4.901084115,65.26651543,72.58539363,60.26374147,5.245100316,26.14120747,31.8129478,13.96517779,59.16065941,10.26087733,32.71977929,2.866859619,22.17680995,79.36299408,12.83812592,26.08114076,84.7911891,12.69762223,37.00636333,2.802874919,12.6011291,7.104075409,10.60574833,21.6,8.4,17.26186136,23.94562522,71.87601,83.3702,81.33730676,54.93328421,5.244530615,23.4,5.568178377,14.4,9,1224940,1.647795398,7.520153222,61308,10137915,22.22461917,12.90771327,50.73968365,0.605218358
California,Merced,6,6047,18,78934,19.63013404,19.55918235,16.08367624,28.5212456,67.69707224,4.752524894,9.775753161,6.082885702,61.93102972,65.37169027,59.67081486,7.038278815,26.58552968,23.21659361,17.99105582,51.39647934,11.86365445,33.40065371,3.36556997,28.48761117,79.41186181,15.69038184,28.57114171,81.82532369,15.25721869,37.75731877,3.449986064,20.28657486,6.370163678,14.45934305,26.3,7.6,17.61845713,36.94213928,46.56274,43.91972,79.33862434,61.76194939,10.4801064,27,4.060270809,10.4,8.8,36560,7.332366734,13.56598795,47442,268672,29.85238506,10.92298416,49.60397809,14.27326002
California,Monterey,6,6053,32,150434,25.01991239,16.15706489,16.49555154,25.43126487,64.51915059,4.0814284,9.194450723,5.220509326,60.17141005,63.45268955,51.7563596,5.737964822,25.36036002,22.05995653,16.89732108,51.83353231,10.69233551,33.82057248,3.02856668,28.40758605,75.69197389,14.64615778,30.93541088,82.85102769,14.22320553,35.32198905,2.772780754,18.44619966,5.918140387,12.36516151,24.6,8.7,17.5737807,37.59419932,58.76957,68.92876,84.81816433,62.58221681,7.559410927,18.9,5.185550521,7.6,7.1,42410,3.473681125,11.30357085,62999,435232,26.34571907,12.69208147,49.05705463,9.816001176
California,Napa,6,6055,22,76866,12.17690656,20.65091458,19.23896391,28.00168215,69.55716181,6.458505711,8.8819413,5.753724664,63.65927718,75.25775245,68.44889808,5.889659928,36.93119715,29.74872766,14.55062576,70.06254781,8.849362527,33.90268389,2.754747222,19.89478833,76.62808394,11.99614004,24.02889054,83.94567559,12.04479224,32.78567897,2.769748654,11.84452944,5.846422339,10.90926044,23.2,8.8,20.07742855,17.69102204,97.57399,84.40837,81.66023166,60.98953378,4.258709449,9.7,8.142865165,7.5,8.2,13580,2.319240102,10.08705362,73112,142166,21.27934949,18.08238257,50.4121942,13.40083819
California,Orange,6,6059,469,2116898,13.9738182,16.68774055,16.44004402,24.85767373,67.49590297,5.039835599,8.203485902,4.815501597,64.65457004,72.55638288,64.28915281,4.874475483,37.40340229,31.25826407,13.19968345,64.10574024,9.460281317,33.17650718,2.579637233,19.6840142,79.00416685,11.48674896,22.23096814,81.75913195,11.54637569,33.09064334,2.367356198,11.37056868,6.356352595,9.995160764,19.2,8.9,16.97840905,17.15606661,94.92784,108.30466,82.94468852,63.82908028,4.015611865,14.5,5.912089687,10.9,7.7,315170,0.891139214,12.31051633,81642,3172532,22.46281519,13.96301125,50.65313762,0.143344433
California,Placer,6,6061,29,118784,7.549571491,19.76559217,19.95344659,25.99548592,68.87118636,6.450046303,8.470728381,4.946470063,64.57037311,78.55887325,72.39129681,5.05705819,38.74814116,35.08353482,12.56443208,71.13504681,7.647887763,32.52782445,2.450912581,16.14586897,79.95099677,10.79017713,21.3364081,84.57464473,9.901999428,31.25032075,2.394924401,8.86082469,5.65922066,9.715204336,20.7,8.3,20.88014001,10.03267578,119.60862,105.64185,85.76807229,71.33671743,4.439464128,7.6,7.592083987,8.7,7.9,45130,3.024821566,11.26269936,85326,380531,22.44232402,18.95745682,51.30856619,13.78719521
California,Riverside,6,6065,262,1153559,15.45054341,19.08709663,18.5553032,27.72886606,66.08054014,5.046693667,8.797906219,5.272874816,64.49325236,70.75211359,65.40977601,5.446172584,29.45202161,30.56866064,15.32391616,61.57322348,9.578435,32.42364491,2.798741287,23.49793344,80.89426687,12.86878001,28.70280714,84.21785535,12.53272715,38.83101861,2.743909068,14.12446862,6.566572398,12.35872909,25.8,8.3,19.39338421,24.98469847,42.01563,49.92166,79.57731743,58.40824643,6.063994144,20.9,4.176150538,15.4,9,229150,6.848193267,14.36838853,59951,2387741,25.71195955,13.88471363,50.2518908,4.622310233
California,Sacramento,6,6067,182,774854,11.5916934,18.87758907,17.6882374,29.39527395,66.77371621,5.345396681,9.624449251,5.132715841,64.62276261,72.07696456,69.44517987,5.543687327,29.65560402,26.65095979,15.01677064,63.69121873,9.597000467,31.61814264,2.766798649,20.9897191,79.59076019,12.52682789,27.05338451,81.73814319,11.91790247,37.17082044,2.758351251,12.03551985,6.839379742,12.53032663,27.6,7.4,18.90206803,24.27446004,81.52744,75.8026,81.40203715,60.33990483,5.350810909,23.1,7.166954744,9.9,8.7,238760,4.422630799,16.89707083,59728,1514460,23.9728352,13.5880776,51.14938658,2.062112169
California,San Bernardino,6,6071,295,1404744,16.82331023,18.36627727,17.58438292,28.36972153,66.08786718,4.580050315,9.559266599,5.126009081,64.10352313,71.60476428,59.76677081,5.69526419,25.98087872,27.81298664,15.69685423,58.46374165,10.33188318,33.9925968,2.899685352,23.18032695,81.8031017,13.72204459,27.9335486,83.15842851,13.13962088,38.94386572,2.811009622,16.00216054,7.213520771,13.05438795,27.3,8.1,17.81358298,31.44541719,57.0923,68.22124,76.3013173,52.06283446,5.707481677,25.7,4.370027625,14.2,8.6,221360,8.004312443,5.01500741,56194,2140096,26.78879826,11.09445558,50.27517457,4.734499143
California,San Diego,6,6073,492,2244525,12.49671619,16.96019808,20.3227989,25.09295013,66.77989294,5.16790234,8.239249329,4.686625411,64.03773395,72.56249059,67.33730357,4.767420456,27.48393268,31.29353413,13.31325176,67.46772422,8.700931244,31.7276045,2.572571791,18.70018846,80.84493427,12.15904149,20.93868422,85.31438469,10.67271231,33.67998619,2.466338223,10.44298272,6.476706667,11.1223271,20.1,8.3,21.88115996,22.15357729,78.46593,85.14809,82.64890607,55.98388953,4.678232985,16.4,5.7796268,11.6,7.2,397390,3.074440164,12.87358053,70693,3317749,21.95238398,13.44399471,49.71632875,3.297049442
California,San Francisco,6,6075,195,805235,8.908784889,16.03285165,21.49203599,25.1601951,68.55076158,5.156345539,7.811430204,4.47649506,64.52623532,75.62585158,66.46603824,3.980992878,32.93377797,30.09284072,11.76009898,69.52717107,8.587501537,32.25644799,2.392749694,17.94323893,80.17080157,9.941693543,17.17487255,82.10017858,8.926029793,30.51606488,2.243159078,8.636947972,6.997014735,10.15553353,18.1,7.8,23.89842064,10.43085906,158.53083,148.23967,84.24821002,61.72839506,3.252302657,11.3,9.042385895,8.2,7.9,134520,0.321952681,21.09597044,101873,870887,13.56582427,14.82580404,49.05515871,0
California,San Joaquin,6,6077,100,441655,16.03628352,19.87216877,16.92734963,29.31061643,68.53905107,4.914984547,9.315906081,5.642374478,62.41432725,69.6019762,62.54683316,6.084620801,32.34222685,28.37303053,15.94139815,59.09735699,10.97041288,34.21181533,3.031014253,25.82577306,80.84500775,13.88279155,29.9812143,83.41856223,13.55809852,36.92429838,3.077804395,16.1089905,7.146669663,12.2277161,28,7.8,17.86570155,28.97682384,58.94456,56.42564,80.28787081,58.69346734,8.06079195,19.1,4.847777046,9.7,10.5,98650,4.76940556,15.85906486,59038,733709,27.44453182,12.34563022,50.11210166,8.472857381
California,San Mateo,6,6081,66,275118,10.53895747,17.04670032,15.72077036,26.40861776,70.55083491,5.534162432,7.67739261,4.537695462,64.6861703,76.56255061,67.25575062,4.125177924,34.79584033,34.4501483,11.4713323,71.3562395,8.920056121,30.82159328,2.432452257,18.2850555,80.10827754,9.794022201,21.86359707,80.79748217,9.306501937,32.75573899,2.178420169,8.856781817,6.854074542,9.08424947,18.7,8.9,16.93582583,13.11656856,102.85767,101.20333,78.75277299,67.56422925,2.995182651,7.7,5.724479994,8.1,8.8,73640,1.099805069,8.171244821,107075,764797,21.11959121,15.23986104,50.70613509,1.891012748
California,Santa Barbara,6,6083,42,187956,18.563376,18.12986976,17.77806242,27.13471132,66.03586584,5.304284513,8.989206516,5.524483922,62.44188533,68.7419428,61.84855871,5.742581774,28.2531534,27.10927025,14.78081945,61.14630818,9.860342846,33.44697748,2.96663368,23.38340197,76.67095171,13.23381643,26.80021814,82.78375205,13.18556098,29.65751985,2.853402392,16.37042765,6.168051246,11.1877815,20.5,8.6,19.44515153,24.6631367,75.54483,78.8937,86.57763694,66.14660723,5.006809002,16.4,7.779319152,8,7.3,44910,3.129454862,14.64396027,66360,446170,22.39303405,14.64441805,49.95158796,5.01751613
California,Santa Clara,6,6085,301,1343058,10.84441588,14.80490485,15.04610196,22.55594561,66.49934724,4.869908671,7.601867455,4.165089371,63.8743705,75.56332258,69.27171775,3.81122982,34.42034908,33.38831063,11.01566649,69.62213955,8.580464954,29.95151684,2.249996873,20.25617635,79.5101773,9.757791994,19.91962119,81.39338971,9.315148192,32.52924937,1.979250784,8.799465474,6.943890078,8.199431207,19.7,8.8,15.92344763,15.06628908,102.81307,112.58715,85.40413288,62.0782291,3.762207448,10.4,5.516036129,8.8,8.1,196180,0.992586698,7.414449034,110843,1919402,22.56827908,12.77960532,49.53907519,1.083663272
California,Shasta,6,6089,27,89812,8.812297911,24.2820436,17.66458046,30.59396072,72.88830891,7.418745825,9.612079678,7.032704984,65.10539906,74.90575536,66.38875095,7.490877611,35.05969581,29.59983187,16.98862067,59.83675455,9.871553913,35.57144034,3.168239211,20.70201755,76.4525353,13.38138667,25.4219091,82.7573331,13.24122834,31.60263551,3.521979246,14.12256269,6.152477416,14.31330477,24,6.7,18.66410197,27.54141816,72.96709,72.37058,80.58413541,61.67286245,6.917001339,24.6,8.24360981,7.3,8.4,32190,8.777489539,19.85275564,46663,179631,21.49628962,20.35840139,50.98507496,29.28626646
California,Solano,6,6095,79,313664,11.5107239,19.26813405,17.32966614,28.96657921,69.71650078,5.438891298,9.323881606,5.325196707,64.42090995,74.11475145,68.06568908,5.62614358,32.91664903,33.30441077,15.22410892,66.61397738,10.42911619,33.21602607,2.787734008,21.90642694,79.38581922,12.28358498,25.26412116,82.34705736,11.7886557,37.6358629,2.853770276,12.3222834,6.686392169,11.76509788,29.5,7.8,18.07655495,21.08729744,82.55139,92.00217,73.64223319,49.10313901,5.462233382,16.2,5.526356824,8.5,9.9,61600,3.382464959,13.46152375,73200,440207,22.55234469,14.66446467,50.33654622,3.718452427
California,Sonoma,6,6097,36,167815,11.29457498,20.63650389,18.01216101,27.34264041,68.59436403,6.452208682,9.21009147,5.343468105,63.43495516,74.49784107,68.39400947,5.800878944,33.88205941,31.60687722,14.57577034,65.22305038,8.431808837,32.97964068,2.704894676,19.80955397,76.39174806,12.51877901,24.10866311,83.50882758,11.63422817,33.78543158,2.712259929,11.97074517,5.718126068,11.15110372,20.3,8.3,19.33685809,15.29875611,99.77178,86.86664,82.79837956,64.21807013,3.952717877,11.2,6.83068271,6.8,8,57500,4.014133044,14.21447113,73496,503070,20.04492417,18.24418073,51.0847397,12.35352713
California,Stanislaus,6,6099,61,269709,14.31856705,21.31958407,17.54188069,30.14403969,68.26332455,5.85677749,9.478729297,6.163140644,64.20163658,71.19347297,64.32810436,6.549537094,32.2185689,29.11948878,15.91955923,61.15080846,10.53973431,34.92619601,3.042164703,24.81723339,78.41071599,13.78105884,31.03047507,84.7811393,13.44331075,36.00311187,3.142109459,15.87092718,6.282323176,12.65945641,30.1,7.9,17.79377366,32.0025719,65.5661,60.93508,83.00180832,60.72517791,8.525562372,19.1,5.720781295,10,9.3,70590,4.856083706,14.95088232,54060,541560,27.16541104,12.77033016,50.57722136,7.980709608
California,Tulare,6,6107,21,124441,15.21352529,19.85495857,18.29652606,27.79469548,68.33482212,5.479575863,9.255783062,5.792164158,64.15420721,71.38766403,63.25446436,6.269596837,35.60841121,27.63626056,16.16263289,60.55803955,10.48889755,34.05270369,3.002973297,23.27697222,77.79069037,13.17887995,33.52724504,84.96705346,13.13586519,32.8384849,2.981636277,15.07675043,6.484432913,15.7733915,33.4,7.8,17.78235621,45.95004614,43.27376,49.95255,79.8818624,57.05574913,10.98883487,32.7,4.47959501,13.7,7.1,57360,7.987467297,8.922755057,45768,460437,31.23358896,10.93526367,50.03355508,15.47993007
California,Ventura,6,6111,117,555215,13.57748962,18.63162973,18.2112225,26.75076844,69.26266329,5.719894635,8.491032123,5.084977711,63.84590654,74.95829904,68.4610486,5.166776654,32.57000838,33.18630116,13.39794584,66.94335924,9.153208397,32.68850337,2.652478049,20.79873941,79.75702818,11.78053385,25.0203523,85.09578704,11.3834012,34.45697451,2.494918545,11.10384806,6.167123288,10.64246705,20.7,9,18.82616442,22.65378453,76.77512,88.49787,82.32214765,60.75782537,5.177600898,12.5,6.066762606,10.2,7.9,69360,3.295901005,13.74461408,79470,849738,23.5790326,14.58484851,50.50403772,3.124552117
